name_product,price_product
Breville Barista Express Impress Espresso Machine BES876DBL,46860600.0  
Breville Infuser Espresso Machine BES840XL,17054400.0  
Hamilton Beach 15 Bar Espresso Machine,46860600.0  
Yabano Espresso Machine,2351400.0  
Lavazza BLUE Classy Mini Single Serve Espresso Coffee Machine LB 300,46860600.0  
اسپرسوساز نوا مدل NOVA NCM-128EXPS,۱۰۵۷۶۹۶۰  
اسپرسو ساز گوسونیک مدل GEM-873,۶۱۰۰۰۰۰  
اسپرسو ساز دولچه گوستو مدل Mini-Me,۵۹۸۳۸۴۰  
اسپرسو ساز نسپرسو مدل  Pixie EN124.S,۱۳۹۸۰۰۰۰  
اسپرسو ساز مباشی مدل ME-ECM 2034,۸۴۱۷۱۹۰  
اسپرسوساز زیگما مدل rl-222,۳۱۵۰۰۰۰    
اسپرسو ساز مباشی مدل ECM2010,۵۴۹۵۰۰۰  
اسپرسوساز مباشی مدل ECM2013,۴۹۵۶۱۴۰  
اسپرسو ساز فیلیپس مدل EP3246,۳۵۰۰۰۰۰۰  
اسپرسو ساز دلونگی مدل EC685,۷۸۲۰۴۶۰  
اسپرسو ساز فیلیپس مدل EP5443/70 ,45700000.0  
اسپرسوساز نوا مدل 128 ,12300000.0   
قهوه ساز مدل TIS30129RW بوش,27100000.0  
اسپرسو ساز دلونگی EC 235 ,6440000.0  
قهوه ساز مدل 2034 مباشی,7950000.0  
اسپرسوساز دلونگی مدل EC7 ,3360000.0  
اسپرسوساز مباشی مدل 2010 ME-ECM ,5880000.0  
قهوه ساز مدل EP3246 فیلیپس,36500000.0  
قهوه ساز مدل 2013 مباشی,5150000.0  
قهوه ساز مدل 685 دلونگی,7950000.0 
