name_product,price_product
اسپرسو ساز فیلیپس مدل EP5443/70 ,"45,700,000 تومان"
اسپرسوساز نوا مدل 128 ,"12,300,000 تومان – 12,650,000 تومان"
قهوه ساز مدل TIS30129RW بوش,"27,100,000 تومان"
اسپرسو ساز دلونگی EC 235 ,"6,440,000 تومان – 6,640,000 تومان"
اسپرسوساز دلونگی مدل EC7 ,"3,360,000 تومان – 3,660,000 تومان"
قهوه ساز مدل 2034 مباشی,"7,950,000 تومان – 8,300,000 تومان"
اسپرسوساز مباشی مدل 2010 ME-ECM ,"5,880,000 تومان – 6,230,000 تومان"
قهوه ساز مدل EP3246 فیلیپس,"36,500,000 تومان"
قهوه ساز مدل 2013 مباشی,"5,150,000 تومان – 5,500,000 تومان"
قهوه ساز مدل 685 دلونگی,"7,950,000 تومان – 8,300,000 تومان"
