name_product,price_product
اسپرسوساز نوا مدل 128 ,"12,300,000  – 12,650,000 "
اسپرسو ساز فیلیپس مدل EP5443/70 ,"45,700,000 "
قهوه ساز مدل TIS30129RW بوش,"27,100,000 "
اسپرسو ساز دلونگی EC 235 ,"6,440,000  – 6,640,000 "
اسپرسوساز دلونگی مدل EC7 ,"3,360,000  – 3,660,000 "
قهوه ساز مدل 2034 مباشی,"7,950,000  – 8,300,000 "
اسپرسوساز مباشی مدل 2010 ME-ECM ,"5,880,000  – 6,230,000 "
قهوه ساز مدل EP3246 فیلیپس,"36,500,000 "
قهوه ساز مدل 2013 مباشی,"5,150,000  – 5,500,000 "
قهوه ساز مدل 685 دلونگی,"7,950,000  – 8,300,000 "
